sample_idx,names,addresses,categories,websites,phones,emails,socials,brand
397,{'primary': 'Swiftbooks'},"[{'freeform': '12150 SW 128 Ct Ste 212', 'locality': 'Miami', 'region': 'FL', 'country': 'US', 'postcode': '33186'}]","{'primary': 'accountant', 'alternate': ['bookkeeper']}",['https://swiftbooks.ai/'],"[""7862042881""]",,,{'names': {}}
398,{'primary': 'Bupa Aged Care Glenvale'},"[{'freeform': '357-383 McDougall St', 'locality': 'Toowoomba', 'postcode': '4350', 'region': 'QLD', 'country': 'AU'}]","{'primary': 'retirement_home', 'alternate': ['health_and_medical', 'accommodation']}",['https://www.bupaagedcare.com.au/aged-care-homes/bupa-glenvale'],"[""+61745930907""]",,['https://www.facebook.com/526363700732995'],{'names': {}}
399,{'primary': 'Pawn America Inc'},"[{'freeform': '923 W Hamilton St Unit 1', 'locality': 'Allentown', 'region': 'PA', 'country': 'US', 'postcode': '18101'}]","{'primary': 'jewelry_store', 'alternate': ['pawn_shop', 'retail']}",['http://pawnamericainc.com/'],"[""6107761767""]",,,{'names': {}}
400,{'primary': 'McMaster Heating and Air Conditioning'},"[{'freeform': '10 Mclaren Ste C', 'locality': 'Irvine', 'region': 'CA', 'country': 'US', 'postcode': '92618'}]","{'primary': 'hvac_services', 'alternate': ['home_service', 'shopping']}",['http://mcmasterair.com/'],"[""+19494817995""]",,['https://www.facebook.com/173318562742375'],{'names': {}}
401,{'primary': 'Tractor Supply Co.'},"[{'freeform': '1884 N Collins Blvd', 'locality': 'Covington', 'postcode': '70433', 'region': 'LA', 'country': 'US'}]","{'primary': 'hardware_store', 'alternate': ['outdoor_gear', 'agricultural_service']}",['https://www.tractorsupply.com/tsc/store_Covington-LA-70433_1428'],"[""+19858929552""]",,['https://www.facebook.com/747251522074650'],{'names': {}}
402,{'primary': 'Metropolitan Neurosurgery Associates'},"[{'freeform': '309 Engle Street, 726', 'locality': 'Englewood', 'region': 'NJ', 'country': 'US', 'postcode': '07631'}]","{'primary': 'neurologist', 'alternate': ['doctor', 'neuropathologist']}",['http://www.mnamd.com/'],"[""+12015697737""]",,['https://www.facebook.com/1301750223233982'],{'names': {}}
403,{'primary': 'Rent-A-Center Puerto Rico'},"[{'freeform': '685 Avenida Emerito Estrada Rivera', 'locality': 'San Sebastián', 'postcode': '00685', 'country': 'PR'}]","{'primary': 'furniture_store', 'alternate': ['rental_service', 'appliance_store']}",['https://locations.rentacenter.com/pr/san-sebastian/ave-emerito-estrada-rivera-1300-antes-carr-125/?utm_source=google&utm_medium=organic&utm_campaign=localmaps'],"[""+17878963200""]",,['https://www.facebook.com/506500350152936'],{'names': {}}
404,{'primary': 'Home Cleaning Services'},"[{'freeform': '84 Bosco Nagar Opp .Kirstujyothi Colleget.C.Playa Main Road Bangalore 560036', 'locality': 'Bangalore', 'region': 'Karnataka', 'country': 'IN', 'postcode': '560036'}]",{'primary': 'cleaning_services'},['https://homecareasiapacific.com/'],"[""09877037733""]",,,{'names': {}}
405,{'primary': 'Olina Küchen'},"[{'freeform': 'Freistädter Straße 400', 'locality': 'Linz', 'region': '', 'country': 'AT', 'postcode': '4040'}]","{'primary': 'retail', 'alternate': ['contractor']}",['https://www.olina.com/standorte/oberoesterreich/linz/'],"[""+43732280444""]",,['https://www.facebook.com/1620569851359794'],{'names': {}}
406,{'primary': 'Commerce Bank'},"[{'freeform': '4400 Green Mount Crossing Dr', 'locality': 'Shiloh', 'region': 'IL', 'country': 'US', 'postcode': '62269'}]",{'primary': 'bank_credit_union'},['https://locations.commercebank.com/locations/branch/il/shiloh/4400-green-mt-crossing-dr/?utm_source=bing&utm_medium=organic'],"[""6186223100""]",,,{'names': {}}
407,{'primary': 'Pooches Parlor'},"[{'freeform': '1128 E Grand River Ave Ste A', 'locality': 'Portland', 'region': 'MI', 'country': 'US', 'postcode': '48875'}]","{'primary': 'pet_groomer', 'alternate': ['pet_services', 'pet_store']}",[''],"[""+15175124614""]",,['https://www.facebook.com/936463366422173'],{'names': {}}
408,{'primary': 'Ardene'},"[{'freeform': '2331 66 St NW', 'locality': 'Edmonton', 'postcode': 'T6K 4B5', 'region': 'AB', 'country': 'CA'}]","{'primary': 'clothing_store', 'alternate': ['shoe_store', ""women's_clothing_store""]}",['https://www.ardene.com/'],"[""+17806651776""]",,['https://www.facebook.com/134922157175163'],{'names': {}}
409,{'primary': 'PetSmart'},"[{'freeform': '2705 E Bidwell St', 'locality': 'Folsom', 'region': 'CA', 'country': 'US', 'postcode': '95630'}]","{'primary': 'pet_store', 'alternate': ['pet_groomer', 'pet_services']}",['https://www.petsmart.com/stores/us/ca/folsom-store0054.html'],"[""+19169844748""]",,['https://www.facebook.com/274172226120999'],{'names': {}}
410,{'primary': 'Agip Service Station'},"[{'freeform': 'Schmarler Damm 9', 'locality': 'Rostock', 'region': 'Mecklenburg-Vorpommern', 'country': 'DE', 'postcode': '18069'}]","{'primary': 'gas_station', 'alternate': ['automotive']}",['https://www.enistation.de/'],"[""03811209656""]",,,{'names': {}}
411,{'primary': 'R.T. Sales'},"[{'freeform': '18349 Lincoln Highway E', 'locality': 'Monroeville', 'region': 'IN', 'country': 'US', 'postcode': '46773'}]","{'primary': 'motorsports_store', 'alternate': ['motorcycle_dealer', 'boat_dealer']}",['https://rtsales.org/'],"[""+12606236355""]",,['https://www.facebook.com/170600253110767'],{'names': {}}
412,{'primary': 'ProSource of Vero Beach'},"[{'freeform': '1605 90th Ave', 'locality': 'Vero Beach', 'region': 'FL', 'country': 'US', 'postcode': '32966'}]","{'primary': 'carpet_store', 'alternate': ['countertop_installation', 'home_improvement_store']}",['https://www.prosourcewholesale.com/showrooms/fl-prosource-of-vero-beach?utm_source=Facebook&utm_medium=Social'],"[""+17722056693""]",,['https://www.facebook.com/138280019529457'],{'names': {}}
413,{'primary': 'Char-Mar Ridge Park'},"[{'freeform': '7741 Lewis Center Rd', 'locality': 'Westerville', 'region': 'OH', 'country': 'US', 'postcode': '43082'}]","{'primary': 'park', 'alternate': ['landmark_and_historical_building', 'structure_and_geography']}",['https://www.discovertheforest.org/'],"[""+17405248600""]",,['https://www.facebook.com/182105655659714'],{'names': {}}
414,{'primary': 'Clarkson Eyecare'},"[{'freeform': '3936 Vogel Rd', 'locality': 'Arnold', 'region': 'MO', 'country': 'US', 'postcode': '63010'}]","{'primary': 'optometrist', 'alternate': ['eye_care_clinic', 'health_and_medical', 'retail']}",['http://clarksoneyecare.com/mo/arnold/'],"[""6362824982""]",,,{'names': {}}
415,{'primary': 'Sierra Restoration'},"[{'freeform': '995 Main St', 'locality': 'Smithfield', 'region': 'UT', 'country': 'US', 'postcode': '84335'}]","{'primary': 'fire_and_water_damage_restoration', 'alternate': ['damage_restoration']}",['https://sierrarestoration.com/'],"[""4355634007""]",,,{'names': {}}
416,{'primary': 'Federal Bank'},"[{'freeform': 'Kalladanthiyil Building, Neendoor Kallara Road, Neendoor', 'locality': 'Kottayam', 'region': 'Kerala', 'country': 'IN', 'postcode': '686601'}]",{'primary': 'bank_credit_union'},['https://locations.federalbank.co.in/federal-bank-neendoor-banks-neendoor-kottayam-147596/Home?utm_source=locator&utm_medium=bing'],"[""04812713510""]",,,{'names': {}}
417,{'primary': 'First National Bank'},"[{'freeform': '396 S Centre St', 'locality': 'Pottsville', 'region': 'PA', 'country': 'US', 'postcode': '17901'}]",{'primary': 'bank_credit_union'},['http://www.fnb-online.com/'],"[""5706220270""]",,,{'names': {}}
418,{'primary': 'Kyle Citty'},"[{'freeform': '2900 Hawkins Dr', 'locality': 'Searcy', 'region': 'AR', 'country': 'US', 'postcode': '72143'}]","{'primary': 'doctor', 'alternate': ['obstetrician_and_gynecologist', 'family_practice']}",['https://www.unity-health.org/provider-directory'],"[""+15012782800""]",,['https://www.facebook.com/217308444986104'],{'names': {}}
419,{'primary': 'PUBLIC location 324234 #%&*'},"[{'freeform': '1766 Palo Verde Ave', 'locality': 'East Palo Alto', 'postcode': '96303', 'region': 'CA', 'country': 'US'}]",,['https://creativesol.com/?utm_j=book'],"[""4089844462""]",,,
420,"{'primary': 'Scott J Morris, DMD'}","[{'freeform': '1719 W Main St', 'locality': 'Norristown', 'region': 'PA', 'country': 'US', 'postcode': '19403'}]","{'primary': 'dentist', 'alternate': ['oral_surgeon', 'teeth_whitening']}",['http://scottjmorrisdmd.com/contact-us/356894'],"[""+16105391110""]",,['https://www.facebook.com/1917151581838821'],{'names': {}}
421,{'primary': 'Farmers Insurance Bernardina Maldonado'},"[{'freeform': '40119 Murrieta Hot Springs Rd', 'locality': 'Murrieta', 'region': 'CA', 'country': 'US', 'postcode': '92563'}]",{'primary': 'insurance_agency'},['http://www.farmers.com/'],"[""+19515212434""]",,['https://www.facebook.com/168450447249413'],{'names': {}}
422,{'primary': 'GameStop'},"[{'freeform': '28050 Walker Road S, Suite M', 'locality': 'Walker', 'region': 'LA', 'country': 'US', 'postcode': '70785'}]","{'primary': 'video_game_store', 'alternate': ['electronics']}",['https://www.gamestop.com/store/us/la/walker/5737/walker-plaza-gamestop?utm_source=gmblisting&utm_medium=organic'],"[""+12256651484""]",,['https://www.facebook.com/261309553901334'],{'names': {}}
423,{'primary': 'Residential Mortgage Services (RMS)'},"[{'freeform': '1470 S Main St Ste 112', 'locality': 'Blacksburg', 'postcode': '24060', 'region': 'VA', 'country': 'US'}]","{'primary': 'mortgage_lender', 'alternate': ['mortgage_broker']}",['https://blacksburg.rmsmortgage.com/'],"[""5408081980""]",,,{'names': {}}
424,"{'primary': ""Raising Cane's""}","[{'freeform': '8020 Burlington Pike', 'locality': 'Florence', 'region': 'KY', 'country': 'US', 'postcode': '41042'}]","{'primary': 'fast_food_restaurant', 'alternate': ['chicken_restaurant', 'restaurant']}",['https://locations.raisingcanes.com/ky/florence/8020-burlington-pike'],"[""+18597574443""]",,['https://www.facebook.com/168340240194048'],{'names': {}}
425,{'primary': '串カツ田中南砂町店'},"[{'freeform': '東京都江東区新砂３丁目３−５３', 'locality': '江東区', 'postcode': '136-0075', 'country': 'JP'}]","{'primary': 'bar', 'alternate': ['japanese_restaurant', 'beer_garden']}",['https://kushi-tanaka.com/restaurant/detail/minamisunamachi'],"[""+815017055665""]",,['https://www.facebook.com/796184184100806'],{'names': {}}
426,{'primary': '911 Restoration (Riverside County)'},"[{'freeform': '1451 Rimpau Ave Ste 105', 'locality': 'CORONA', 'region': 'CA', 'country': 'US', 'postcode': '92879'}]","{'primary': 'fire_and_water_damage_restoration', 'alternate': ['damage_restoration']}",['https://www.911restorationriverside.com/'],"[""9512284583""]",,,{'names': {}}
427,"{'primary': 'Irby Utilities | Chattanooga, TN'}","[{'freeform': '1875 Polk Street Utility', 'locality': 'Chattanooga', 'region': 'TN', 'country': 'US', 'postcode': '37408'}]","{'primary': 'distribution_services', 'alternate': ['freight_and_cargo_service', 'business_storage_and_transportation', 'business_to_business']}",['http://www.irby.com/'],"[""4236246414""]",,,{'names': {}}
428,{'primary': 'Carglass España'},"[{'freeform': 'Avenida De La Guardia Civil, 17', 'locality': 'Lucena', 'region': 'Córdoba', 'country': 'ES', 'postcode': '14900'}]","{'primary': 'auto_glass_service', 'alternate': ['automotive_repair', 'glass_and_mirror_sales_service']}",['https://www.carglass.es/localizaciones/lucena?utm_campaign=ORGANICO_GMB&utm_content=link&utm_medium=organic&utm_source=gmb&utm_term=no'],"[""+34957194347""]",,['https://www.facebook.com/197399961197838'],{'names': {}}
429,{'primary': 'Punkt sprzedaży Plus i Polsat Box'},"[{'freeform': 'Mieczysława Jeżyka 2A', 'locality': 'Wągrowiec', 'postcode': '62-100', 'country': 'PL'}]","{'primary': 'mobile_phone_store', 'alternate': ['retail']}",['http://www.plus.pl/'],"[""601723181""]",,,{'names': {}}
430,{'primary': 'The Glen At Shawmont Station'},"[{'freeform': '300 Autumn River Run', 'locality': 'Philadelphia', 'region': 'PA', 'country': 'US', 'postcode': '19128'}]","{'primary': 'apartments', 'alternate': ['condominium']}",['https://www.theglenphilly.com/'],"[""2154824889""]",,,{'names': {}}
431,"{'primary': ""Arby's""}","[{'freeform': '5980 Cattleridge Blvd', 'locality': 'Sarasota', 'region': 'FL', 'country': 'US', 'postcode': '34232'}]","{'primary': 'fast_food_restaurant', 'alternate': ['sandwich_shop', 'restaurant']}",['https://locations.arbys.com/fl/sarasota/5980-cattleridge-blvd.html'],"[""9413792729""]",,,{'names': {}}
432,{'primary': 'Right Aid Home Care'},"[{'freeform': '305 S 60th St', 'locality': 'Philadelphia', 'region': 'PA', 'country': 'US', 'postcode': '19139'}]","{'primary': 'retirement_home', 'alternate': ['health_department', 'health_and_medical']}",['http://www.rightaidhomecareagency.com/'],"[""+12154843377""]",,['https://www.facebook.com/487614508090058'],{'names': {}}
433,{'primary': 'Walmart'},"[{'freeform': '601 Fm 1821', 'locality': 'Mineral Wells', 'postcode': '76067', 'region': 'TX', 'country': 'US'}]",{'primary': 'retail'},['https://grocery.walmart.com/locations/pickup/Walmart-Mineral-Wells-TX-Supercenter-804'],"[""9403159414""]",,,{'names': {}}
434,{'primary': 'Mint House Greenville'},"[{'freeform': '366 Field St', 'locality': 'Greenville', 'region': 'SC', 'country': 'US', 'postcode': '29601'}]","{'primary': 'accommodation', 'alternate': ['hotel', 'motel']}",['https://minthouse.com/greenville/west-end/'],"[""+18559729090""]",,['https://www.facebook.com/113490525127143'],{'names': {}}
435,{'primary': 'Oasis Day Camp in Central Park'},"[{'freeform': '795 Columbus Ave', 'locality': 'New York', 'region': 'NY', 'country': 'US', 'postcode': '10025'}]","{'primary': 'youth_organizations', 'alternate': ['active_life', 'campground']}",['https://oasischildren.com/central-park/'],"[""+18003171392""]",,['https://www.facebook.com/178180425569582'],{'names': {}}
436,"{'primary': ""Clark's Farm Market""}","[{'freeform': '1445 Eagle City Rd', 'locality': 'Springfield', 'region': 'OH', 'country': 'US', 'postcode': '45504'}]","{'primary': 'fruits_and_vegetables', 'alternate': ['shoe_store', 'shopping']}",['http://clarksfarmmarket.com/'],"[""+19373990748""]",,['https://www.facebook.com/194961367317590'],{'names': {}}
437,{'primary': 'Affiliato Tecnorete Immobiliare Borgaro S.A.S.'},"[{'freeform': 'via Borgaro 86/C', 'locality': 'Torino', 'region': 'TO', 'country': 'IT', 'postcode': '10149'}]","{'primary': 'commercial_real_estate', 'alternate': ['real_estate_agent']}",['https://torino8.tecnorete.it/'],"[""0112914625""]",,,{'names': {}}
438,{'primary': 'Marshalls plc (Marshalls Mono Ltd.) Sittingbourne'},"[{'freeform': 'Castle Road', 'locality': 'Sittingbourne', 'postcode': 'ME10 3NB', 'region': 'Kent', 'country': 'GB'}]","{'primary': 'cement_supplier', 'alternate': ['masonry_concrete', 'business_to_business']}",['http://www.marshalls.co.uk/'],"[""01422312000""]",,,{'names': {}}
439,{'primary': 'Northern Design Co'},"[{'freeform': '25832 Woodale Rd', 'locality': 'Nisswa', 'region': 'MN', 'country': 'US', 'postcode': '56468'}]",{'primary': 'interior_design'},['http://www.NorthernDesignCoMN.com/'],"[""+12188218481""]",,['https://www.facebook.com/101767128126271'],{'names': {}}
440,{'primary': 'The Kings Head'},"[{'freeform': 'Main Road, Hurlsey', 'locality': 'Winchester', 'region': '', 'country': 'GB', 'postcode': 'SO21 2JW'}]","{'primary': 'hotel', 'alternate': ['pub', 'british_restaurant']}",['https://www.kingsheadhursley.co.uk/'],"[""+441962775208""]",,['https://www.facebook.com/223115694547563'],{'names': {}}
441,{'primary': 'IndianOil'},"[{'freeform': 'Ground Floor, Malout Muktsar Road, Bam, Rupana', 'locality': 'Muktsar', 'region': 'Punjab', 'country': 'IN', 'postcode': '152032'}]","{'primary': 'gas_station', 'alternate': ['indian_restaurant']}",['https://locator.iocl.com/indianoil-rupana-petro-point-petrol-pump-rupana-muktsar-225310/Home?utm_source=locator&utm_medium=bing'],"[""+919779400100""]",,['https://www.facebook.com/166979613825327'],{'names': {}}
442,{'primary': 'PUBLIC location 324234 #%&*'},"[{'freeform': '1766 Palo Verde Ave', 'locality': 'East Palo Alto', 'postcode': '96303', 'region': 'CA', 'country': 'US'}]",,['https://creativesol.com/?utm_j=book'],"[""4089844462""]",,,
443,{'primary': 'U.S. Bank'},"[{'freeform': '375 NW Monroe Ave', 'locality': 'Corvallis', 'region': 'OR', 'country': 'US', 'postcode': '97330'}]",{'primary': 'bank_credit_union'},['https://locations.usbank.com/index/oregon/corvallis/corvallis-branch.html'],"[""5417574000""]",,,{'names': {}}
444,{'primary': 'Walmart'},"[{'freeform': '2101 S Princeton St', 'locality': 'Ottawa', 'region': 'KS', 'country': 'US', 'postcode': '66067'}]",{'primary': 'retail'},['http://www.walmart.com/store/382-ottawa-ks/patio-garden'],"[""7852429222""]",,,{'names': {}}
445,{'primary': 'El Dorado Hills Sports Club and Spa'},"[{'freeform': '530 Post Ct', 'locality': 'El Dorado Hills', 'region': 'CA', 'country': 'US', 'postcode': '95762'}]","{'primary': 'gym', 'alternate': ['active_life', 'business_to_business']}",['https://www.sparetimesportsclubs.com/el-dorado-hills/'],"[""9169334929""]",,,{'names': {}}
446,{'primary': 'Church Street Floor Coverings'},"[{'freeform': '595 W Church St', 'locality': 'Newark', 'region': 'OH', 'country': 'US', 'postcode': '43055'}]","{'primary': 'carpet_installation', 'alternate': ['carpet_store', 'flooring_store', 'retail']}",[''],"[""7403455905""]",,,{'names': {}}
447,{'primary': 'Teriyaki Madness'},"[{'freeform': '2338 Citadel Way, Unit', 'locality': 'Melbourne', 'region': 'FL', 'country': 'US', 'postcode': '32940'}]","{'primary': 'asian_fusion_restaurant', 'alternate': ['pan_asian_restaurant', 'restaurant']}",['http://teriyakimadness.com/locations/fl-melbourne/'],"[""3213054116""]",,,{'names': {}}
448,{'primary': 'Just Law'},"[{'freeform': '2040 E 3300 S Ste 3', 'locality': 'Salt Lake City', 'postcode': '84109', 'region': 'UT', 'country': 'US'}]",{'primary': 'divorce_and_family_law'},['https://justlawutah.com/'],"[""8012747000""]",,,{'names': {}}
449,{'primary': 'Liberty Tax Service'},"[{'freeform': '353 E Main St', 'locality': 'Waterbury', 'region': 'CT', 'country': 'US', 'postcode': '06702'}]","{'primary': 'tax_services', 'alternate': ['tax_office']}",['https://www.libertytax.com/income-tax-preparation-locations/19874.html'],"[""2034379128""]",,,{'names': {}}
450,{'primary': 'Rejuvime Medical'},"[{'freeform': '4313 Bluebonnet Blvd Ste B', 'locality': 'Baton Rouge', 'region': 'LA', 'country': 'US', 'postcode': '70809'}]","{'primary': 'hospital', 'alternate': ['health_and_medical', 'naturopathic_holistic']}",['http://www.rejuvimemedical.com/'],"[""+12259601580""]",,['https://www.facebook.com/1045806342098090'],{'names': {}}
451,{'primary': 'Cracker Barrel Old Country Store'},"[{'freeform': '213 Indian Lake Blvd', 'locality': 'Hendersonville', 'region': 'TN', 'country': 'US', 'postcode': '37075'}]","{'primary': 'breakfast_and_brunch_restaurant', 'alternate': ['cafe', 'restaurant']}",['https://www.crackerbarrel.com/Locations/States/tn/hendersonville/630/'],"[""6158227407""]",,,{'names': {}}
452,{'primary': 'LCNB National Bank'},"[{'freeform': '794 NW Washington Blvd.', 'locality': 'Hamilton', 'region': 'OH', 'country': 'US', 'postcode': '45013'}]","{'primary': 'bank_credit_union', 'alternate': ['financial_service', 'mortgage_broker']}",['https://www.lcnb.com/locations/hamilton'],"[""+15136772203""]",,['https://www.facebook.com/452637845142215'],{'names': {}}
453,{'primary': 'Viva Mitsubishi'},"[{'freeform': '10310 Montana Ave', 'locality': 'El Paso', 'region': 'TX', 'country': 'US', 'postcode': '79925'}]","{'primary': 'car_dealer', 'alternate': ['automotive', 'commercial_vehicle_dealer']}",['http://WWW.VIVAMITSUBISHI.COM/'],"[""+19157821600""]",,['https://www.facebook.com/122668101084988'],{'names': {}}
454,{'primary': 'Ratskeller Oldenburg'},"[{'freeform': 'Markt 1', 'locality': 'Oldenburg (Oldb.)', 'postcode': '26122', 'country': 'DE'}]","{'primary': 'german_restaurant', 'alternate': ['restaurant', 'european_restaurant']}",['http://www.ratskeller-oldenburg.de'],"[""+494419250001""]",,['https://www.facebook.com/247915241894430'],{'names': {}}
455,{'primary': 'Yamamay'},"[{'freeform': 'Corso Vittorio Emanuele, 17', 'locality': 'Castellammare di Stabia', 'postcode': '80053', 'region': '72', 'country': 'IT'}]","{'primary': ""women's_clothing_store"", 'alternate': ['lingerie_store']}",['https://www.yamamay.com/'],"[""+3908119913333""]",,['https://www.facebook.com/106694365604933'],{'names': {}}
456,{'primary': 'Planes of Fame Air Museum'},"[{'freeform': '14998 Cal Aero Dr', 'locality': 'Chino', 'region': 'CA', 'country': 'US', 'postcode': '91710'}]","{'primary': 'history_museum', 'alternate': ['museum', 'aviation_museum']}",['http://planesoffame.org/index.php?page=admission-hours-and-directions'],"[""+19095973722""]",,['https://www.facebook.com/23688958789'],{'names': {}}
457,{'primary': 'Andrew P Tharp FNP'},"[{'freeform': '1701 E College Ave', 'locality': 'Normal', 'region': 'IL', 'country': 'US', 'postcode': '61761'}]","{'primary': 'health_consultant', 'alternate': ['nurse_practitioner', 'active_life', 'health_and_medical']}",['https://www.osfhealthcare.org/physicians/profile/3744/andrew-p-tharp-fnp/'],"[""3096643000""]",,,{'names': {}}
458,{'primary': 'Economy Fence Center'},"[{'freeform': '3304 S 30th St', 'locality': 'Tacoma', 'postcode': '98409', 'region': 'WA', 'country': 'US'}]",{'primary': 'fence_and_gate_sales_service'},['http://economyfence.com/'],"[""2534416900""]",,,{'names': {}}
459,{'primary': '241 Pizza'},"[{'freeform': '1383 Davenport Rd', 'locality': 'Toronto', 'postcode': 'M6H 2H6', 'region': 'ON', 'country': 'CA'}]","{'primary': 'pizza_restaurant', 'alternate': ['food_delivery_service', 'restaurant']}",['https://locations.241pizza.com/ll/CA/Ontario/Toronto/1383-Davenport'],"[""+14162410241""]",,['https://www.facebook.com/157136095111494'],{'names': {}}
460,{'primary': 'ChipsAway Cardiff Car Care Centre'},"[{'freeform': 'Lambourne Cres, Unit 20, Cardiff Business Park', 'locality': 'Llanishen', 'region': 'Wales', 'country': 'GB', 'postcode': 'CF14 5GF'}]","{'primary': 'auto_body_shop', 'alternate': ['automotive']}",['https://www.chipsaway.co.uk/local-car-body-repairs/south-glamorgan/cardiff/'],"[""08000461047""]",,,{'names': {}}
461,{'primary': 'ARCO'},"[{'freeform': '4161 Saint Rose Pkwy', 'locality': 'Henderson', 'region': 'NV', 'country': 'US', 'postcode': '89044'}]","{'primary': 'gas_station', 'alternate': ['automotive']}",['https://www.arco.com/en-us/southwest/find-a-station/'],"[""7026140521""]",,,{'names': {}}
462,{'primary': 'Sofrapa'},"[{'freeform': 'Parque Industrial Covilhã Lote A-5', 'locality': 'Covilhã', 'region': 'Castelo Branco', 'country': 'PT', 'postcode': '6200-027'}]","{'primary': 'automotive_repair', 'alternate': ['automotive_parts_and_accessories', 'auto_body_shop']}",['http://www.sofrapa.pt/'],"[""+351275333397""]",,['https://www.facebook.com/101024555347488'],{'names': {}}
463,{'primary': 'Expressions Floral Design'},"[{'freeform': '1247 N Hamilton Rd', 'locality': 'Columbus', 'region': 'OH', 'country': 'US', 'postcode': '43230'}]","{'primary': 'florist', 'alternate': ['floral_designer', 'retail']}",['https://www.expressionsfloraldesign.com/'],"[""6148580444""]",,,{'names': {}}
464,{'primary': 'Giant Eagle'},"[{'freeform': '9805 Mcknight Rd', 'locality': 'Pittsburgh', 'region': 'PA', 'country': 'US', 'postcode': '15237'}]","{'primary': 'pharmacy', 'alternate': ['retail']}",['https://www.gianteagle.com/pharmacy'],"[""4123663214""]",,,{'names': {}}
465,{'primary': 'PT Orthodontics'},"[{'freeform': '7815 Parkway Dr', 'locality': 'Leeds', 'region': 'AL', 'country': 'US', 'postcode': '35094'}]","{'primary': 'orthodontist', 'alternate': ['dentist', 'health_and_medical']}",['http://ptortho.com/locations/leeds/'],"[""+12056996244""]",,['https://www.facebook.com/454581078056594'],{'names': {}}
466,{'primary': 'Walmart'},"[{'freeform': '55 Thomaston Commons Way', 'locality': 'Thomaston', 'region': 'ME', 'country': 'US', 'postcode': '04861'}]","{'primary': 'pharmacy', 'alternate': ['drugstore', 'retail']}",['https://www.walmart.com/store/1797-thomaston-me/pharmacy/'],"[""2075961060""]",,,{'names': {}}
467,{'primary': 'Courtyard Philadelphia Springfield'},"[{'freeform': '400 W Sproul Rd', 'locality': 'Springfield', 'region': 'PA', 'country': 'US', 'postcode': '19064'}]","{'primary': 'resort', 'alternate': ['hotel', 'motel']}",['https://www.marriott.com/en-us/hotels/phlgf-courtyard-philadelphia-springfield/overview/?scid=cf432f1f-54d2-411a-89ce-225188630324'],"[""6105431080""]",,,{'names': {}}
468,{'primary': 'Lidl US'},"[{'freeform': '420 E MacDade Blvd', 'locality': 'Folsom', 'postcode': '19033', 'region': 'PA', 'country': 'US'}]","{'primary': 'supermarket', 'alternate': ['grocery_store', 'organic_grocery_store']}",['http://www.lidl.com/'],"[""+18447475435""]",,['https://www.facebook.com/2076627859316005'],{'names': {}}
469,{'primary': 'WEISSER RING e.V. - Außenstelle Schaumburg'},"[{'freeform': 'Georgswall 3', 'locality': 'Hannover', 'region': 'Lower Saxony', 'country': 'DE', 'postcode': '30159'}]","{'primary': 'organization', 'alternate': ['active_life']}",['https://schaumburg-niedersachsen.weisser-ring.de/'],"[""015155164711""]",,,{'names': {}}
470,{'primary': 'AdventHealth Medical Group Primary Care'},"[{'freeform': '428 W Brandon Blvd', 'locality': 'Brandon', 'region': 'FL', 'country': 'US', 'postcode': '33511'}]","{'primary': 'hospital', 'alternate': ['family_practice', 'internal_medicine']}",['http://www.fhprimarycarebrandon.com/'],"[""+18136814444""]",,['https://www.facebook.com/1503174613272807'],{'names': {}}
471,{'primary': 'Sally Beauty'},"[{'freeform': '6848 Suwannee Plaza Ln', 'locality': 'Live Oak', 'region': 'FL', 'country': 'US', 'postcode': '32060'}]","{'primary': 'beauty_product_supplier', 'alternate': ['business_equipment_and_supply', 'business_to_business', 'retail']}",['https://stores.sallybeauty.com/fl/liveoak/beauty-supply-liveoak-fl-2502.html'],"[""3863644648""]",,,{'names': {}}
472,{'primary': 'Mark Howell Painting Inc.'},"[{'freeform': '320 High Tide Dr Ste 101', 'locality': 'St Augustine Beach', 'region': 'FL', 'country': 'US', 'postcode': '32080'}]",{'primary': 'painting'},['https://markhowellpaintinginc.com/'],"[""9046082936""]",,,{'names': {}}
473,{'primary': 'ドミノ・ピザ'},"[{'freeform': '中央区大江4丁目21-16, サンエムビル', 'locality': '熊本市', 'region': '熊本県', 'country': 'JP', 'postcode': '〒862-0971'}]","{'primary': 'pizza_restaurant', 'alternate': ['food_delivery_service', 'cafe']}",['https://www.dominos.jp/store/87547?utm_source=Facebook&utm_medium=local&utm_campaign=yext&utm_content=87547'],"[""+81963750707""]",,['https://www.facebook.com/105904004598802'],{'names': {}}
474,"{'primary': ""Tommy's Express Car Wash""}","[{'freeform': '800 Sterlington Rd.', 'locality': 'Monroe', 'region': 'LA', 'country': 'US', 'postcode': '71203'}]","{'primary': 'car_wash', 'alternate': ['auto_detailing', 'automotive_repair']}",['https://tommys-express.com/locations/la118/?utm_source=Facebook&utm_medium=Yext&y_source=1_MjEwMjE3NzQtNTU5LWxvY2F0aW9uLndlYnNpdGU%3D'],"[""+13182155965""]",,['https://www.facebook.com/106471361405934'],{'names': {}}
475,{'primary': 'Walmart'},"[{'freeform': '3313 W State Road 45', 'locality': 'Bloomington', 'region': 'IN', 'country': 'US', 'postcode': '47403'}]","{'primary': 'optometrist', 'alternate': ['health_and_medical', 'retail']}",['https://www.walmart.com/store/1991-bloomington-in/vision-center'],"[""8123351788""]",,,{'names': {}}
